counts_1_3,counts_2_3,counts_1_2,timestamp
18, 18, 20, Fri Jan 20 04:09:53 2023
13, 12, 19, Fri Jan 20 04:10:53 2023
12, 11, 10, Fri Jan 20 04:11:53 2023
15, 13, 18, Fri Jan 20 04:12:53 2023
14, 12, 13, Fri Jan 20 04:13:53 2023
18, 18, 18, Fri Jan 20 04:14:53 2023
18, 15, 15, Fri Jan 20 04:15:53 2023
13, 12, 11, Fri Jan 20 04:16:53 2023
18, 17, 17, Fri Jan 20 04:17:53 2023
15, 8, 12, Fri Jan 20 04:18:53 2023
14, 12, 16, Fri Jan 20 04:21:53 2023
18, 18, 21, Fri Jan 20 04:22:53 2023
22, 16, 18, Fri Jan 20 04:23:53 2023
19, 14, 19, Fri Jan 20 04:24:53 2023
19, 16, 19, Fri Jan 20 04:25:53 2023
13, 13, 16, Fri Jan 20 04:26:53 2023
19, 12, 12, Fri Jan 20 04:27:53 2023
14, 17, 18, Fri Jan 20 04:28:53 2023
15, 15, 18, Fri Jan 20 04:29:53 2023
11, 13, 16, Fri Jan 20 04:30:53 2023
10, 7, 9, Fri Jan 20 04:31:53 2023
20, 16, 18, Fri Jan 20 04:32:53 2023
19, 16, 24, Fri Jan 20 04:33:53 2023
17, 12, 17, Fri Jan 20 04:34:53 2023
17, 12, 12, Fri Jan 20 04:35:53 2023
24, 16, 17, Fri Jan 20 04:36:53 2023
13, 9, 15, Fri Jan 20 04:37:53 2023
14, 10, 13, Fri Jan 20 04:38:53 2023
16, 11, 14, Fri Jan 20 04:39:53 2023
9, 6, 13, Fri Jan 20 04:40:53 2023
24, 21, 27, Fri Jan 20 04:41:53 2023
17, 13, 14, Fri Jan 20 04:42:53 2023
13, 13, 15, Fri Jan 20 04:43:53 2023
8, 7, 13, Fri Jan 20 04:44:53 2023
14, 10, 16, Fri Jan 20 04:45:53 2023
16, 13, 17, Fri Jan 20 04:46:53 2023
19, 17, 21, Fri Jan 20 04:47:53 2023
17, 12, 15, Fri Jan 20 04:48:53 2023
11, 14, 11, Fri Jan 20 04:49:53 2023
20, 14, 22, Fri Jan 20 04:50:53 2023
22, 16, 21, Fri Jan 20 04:53:53 2023
16, 12, 16, Fri Jan 20 04:54:53 2023
23, 11, 15, Fri Jan 20 04:55:53 2023
19, 19, 23, Fri Jan 20 04:56:53 2023
15, 16, 17, Fri Jan 20 04:57:53 2023
19, 16, 14, Fri Jan 20 04:58:53 2023
20, 14, 21, Fri Jan 20 04:59:53 2023
18, 14, 19, Fri Jan 20 05:00:53 2023
17, 18, 20, Fri Jan 20 05:01:53 2023
19, 14, 16, Fri Jan 20 05:02:53 2023
22, 17, 21, Fri Jan 20 05:03:53 2023
16, 14, 22, Fri Jan 20 05:04:53 2023
16, 17, 20, Fri Jan 20 05:05:53 2023
17, 12, 15, Fri Jan 20 05:06:53 2023
17, 11, 16, Fri Jan 20 05:07:53 2023
13, 10, 12, Fri Jan 20 05:08:53 2023
17, 15, 18, Fri Jan 20 05:09:53 2023
19, 22, 18, Fri Jan 20 05:10:53 2023
24, 22, 22, Fri Jan 20 05:11:53 2023
18, 16, 20, Fri Jan 20 05:12:53 2023
12, 10, 12, Fri Jan 20 05:13:53 2023
14, 13, 14, Fri Jan 20 05:14:53 2023
17, 13, 10, Fri Jan 20 05:15:53 2023
11, 9, 13, Fri Jan 20 05:16:53 2023
15, 11, 14, Fri Jan 20 05:17:53 2023
18, 16, 21, Fri Jan 20 05:18:53 2023
14, 17, 13, Fri Jan 20 05:19:53 2023
15, 11, 12, Fri Jan 20 05:20:53 2023
17, 12, 12, Fri Jan 20 05:21:53 2023
22, 15, 20, Fri Jan 20 05:22:53 2023
13, 8, 13, Fri Jan 20 05:25:53 2023
20, 13, 13, Fri Jan 20 05:26:53 2023
12, 9, 16, Fri Jan 20 05:27:53 2023
15, 10, 11, Fri Jan 20 05:28:53 2023
15, 11, 16, Fri Jan 20 05:29:53 2023
14, 13, 16, Fri Jan 20 05:30:53 2023
13, 10, 14, Fri Jan 20 05:31:53 2023
15, 15, 14, Fri Jan 20 05:32:53 2023
16, 12, 15, Fri Jan 20 05:33:53 2023
13, 13, 14, Fri Jan 20 05:34:53 2023
